Location,Date,Time,CO2,CO,Smoke
Vashi,Thursday,3,1348,135,102
Ulhas,Thursday,4,1425,135,107
Ulhas,Thursday,5,1474,135,113
Chembur,Thursday,6,1490,135,108
Thane,Thursday,7,1495,135,105
Vashi,Thursday,8,1376,135,93
Vashi,Thursday,9,1305,135,87
Thane,Thursday,10,1283,135,76
Ulhas,Thursday,11,1392,135,94
Vashi,Thursday,12,1452,135,110
Chembur,Thursday,13,1633,135,136
Panvel,Thursday,14,1625,135,139
Chembur,Thursday,15,1535,135,125
Panvel,Thursday,16,1323,135,111
Vashi,Thursday,17,1309,135,97
Vashi,Thursday,18,1456,135,107
Thane,Thursday,19,1300,135,90
Vashi,Thursday,20,1203,135,84
Vashi,Thursday,21,1195,135,0
Ulhas,Thursday,22,1117,135,87
Thane,Thursday,23,1062,135,66
Kurla,Friday,0,947,135,36
Chembur,Friday,1,1065,135,62
Khar,Friday,2,1155,135,91
Ulhas,Friday,3,1220,135,89
Khar,Friday,4,1301,135,93
Khar,Friday,5,1279,135,81
Vashi,Friday,6,1267,135,82
Chembur,Friday,7,1239,135,80
Khar,Friday,8,1128,135,48
Kurla,Friday,9,1243,135,61
Chembur,Friday,10,1208,135,89
Khar,Friday,11,1306,135,105
Chembur,Friday,12,1546,135,116
Khar,Friday,13,1501,135,119
Khar,Friday,14,1605,135,144
Turbhe,Friday,15,1316,135,123
Kurla,Friday,16,1195,135,105
Panvel,Friday,17,1211,135,93
Turbhe,Friday,18,1161,135,86
Panvel,Friday,19,1095,135,76
Panvel,Friday,20,897,135,33
Panvel,Friday,21,842,135,0
Thane,Friday,22,854,135,27
Khar,Friday,23,845,135,23
Vashi,Saturday,0,942,135,46
Ulhas,Saturday,1,1090,135,76
Vashi,Saturday,2,1514,135,116
Chembur,Saturday,3,1379,135,115
Vashi,Saturday,4,1074,135,83
Vashi,Saturday,5,1090,135,87
Ulhas,Saturday,6,1110,135,90
Khar,Saturday,7,1102,135,87
Vashi,Saturday,8,1100,135,99
Ulhas,Saturday,9,1094,135,99
Ulhas,Saturday,10,1076,451,101
Kurla,Saturday,11,1152,185,103
Ulhas,Saturday,12,1407,426,129
Thane,Saturday,13,1438,672,143
Turbhe,Saturday,14,1425,624,146
Khar,Saturday,15,1279,325,124
Ulhas,Saturday,16,1132,143,113
Ulhas,Saturday,17,1006,89,80
Turbhe,Saturday,18,982,73,72
Kurla,Saturday,19,969,48,64
Thane,Saturday,20,941,47,70
Khar,Saturday,21,892,36,0
Vashi,Saturday,22,855,25,31
Turbhe,Saturday,23,834,19,22
Kurla,Sunday,0,909,26,47
Vashi,Sunday,1,1061,60,88
Thane,Sunday,2,1441,248,130
Vashi,Sunday,3,1498,535,132
Khar,Sunday,4,1343,340,132
Vashi,Sunday,5,1308,325,131
Thane,Sunday,6,1209,267,129
Chembur,Sunday,7,1310,325,132
Vashi,Sunday,8,1171,268,110
Turbhe,Sunday,9,1112,136,99
Panvel,Sunday,10,1132,118,100
Kurla,Sunday,11,1225,276,122
Ulhas,Sunday,12,1065,151,97
Thane,Sunday,13,1236,236,112
Vashi,Sunday,14,1309,220,128
Ulhas,Sunday,15,1089,87,101
Chembur,Sunday,16,1000,81,96
Chembur,Sunday,17,1041,74,86
Ulhas,Sunday,18,1045,55,85
Chembur,Sunday,19,997,74,79
Chembur,Sunday,20,948,35,61
Thane,Sunday,21,878,29,0
Chembur,Sunday,22,908,29,66
Khar,Sunday,23,892,20,54
Thane,Monday,0,954,32,57
Thane,Monday,1,1045,84,75
Turbhe,Monday,2,1383,245,97
Turbhe,Monday,3,1597,553,110
Panvel,Monday,4,1318,450,113
Vashi,Monday,5,1138,118,88
Vashi,Monday,6,1098,118,85
Panvel,Monday,7,1118,144,96
Ulhas,Monday,8,1170,159,106
Vashi,Monday,9,1112,122,91
Ulhas,Monday,10,1390,230,126
Ulhas,Monday,11,1353,320,130
Turbhe,Monday,12,1260,263,111
Panvel,Monday,13,1501,556,134
Kurla,Monday,14,1273,458,136
Ulhas,Monday,15,1179,214,125
Chembur,Monday,16,1047,97,108
Khar,Monday,17,973,79,87
Panvel,Monday,18,997,81,89
Turbhe,Monday,19,970,52,58
Vashi,Monday,20,902,38,54
Chembur,Monday,21,921,35,0
Ulhas,Monday,22,858,29,28
Turbhe,Monday,23,878,21,20
Kurla,Monday,18,893,46,51
Chembur,Monday,19,1038,55,82
Panvel,Monday,20,1320,271,112
Chembur,Monday,21,1353,434,119
Turbhe,Monday,22,1133,300,99
Ulhas,Monday,23,1066,116,98
Thane,Tuesday,0,1027,95,88
Chembur,Tuesday,1,1106,211,96
Chembur,Tuesday,2,1038,168,81
Ulhas,Tuesday,3,1084,154,92
Ulhas,Tuesday,4,1105,267,105
Kurla,Tuesday,5,1102,143,88
Panvel,Tuesday,6,1240,374,103
Thane,Tuesday,7,1443,797,141
Khar,Tuesday,8,1389,698,133
Ulhas,Tuesday,9,1183,234,119
Thane,Tuesday,10,1014,104,106
Thane,Tuesday,11,979,67,92
Chembur,Tuesday,12,1048,88,97
Kurla,Tuesday,13,1024,79,91
Vashi,Tuesday,14,974,61,83
Thane,Tuesday,15,862,43,0
Kurla,Tuesday,16,925,40,59
Ulhas,Tuesday,17,952,52,73
Khar,Tuesday,18,1005,64,78
Panvel,Tuesday,19,1122,88,90
Turbhe,Tuesday,20,1351,375,110
Ulhas,Tuesday,21,1408,592,114
Ulhas,Tuesday,22,1304,357,119
Thane,Tuesday,23,1207,296,121
Chembur,Wednesday,0,1099,181,97
Kurla,Wednesday,1,1106,211,99
Ulhas,Wednesday,2,1009,199,85
Kurla,Wednesday,3,962,81,75
Turbhe,Wednesday,4,1093,143,87
Turbhe,Wednesday,5,1180,247,102
Kurla,Wednesday,6,1168,239,105
Panvel,Wednesday,7,1168,267,98
Thane,Wednesday,8,1140,261,93
Khar,Wednesday,9,1001,97,91
Khar,Wednesday,10,953,66,85
Chembur,Wednesday,11,972,60,74
Turbhe,Wednesday,12,1021,77,87
Khar,Wednesday,13,940,57,79
Thane,Wednesday,14,1046,65,78
Chembur,Wednesday,15,1026,59,0
Kurla,Wednesday,16,983,48,63
Chembur,Wednesday,17,915,27,48
Thane,Wednesday,18,935,25,59
Turbhe,Wednesday,19,976,42,65
Thane,Wednesday,20,1124,78,71
Turbhe,Wednesday,21,1163,128,84
Vashi,Wednesday,22,1167,184,93
Vashi,Wednesday,23,1121,156,99
Thane,Thursday,0,1071,176,93
Turbhe,Thursday,1,1065,232,96
Chembur,Thursday,2,1157,305,114
Kurla,Thursday,3,1046,150,101
Ulhas,Thursday,4,1147,188,108
Vashi,Thursday,5,1119,221,117
Turbhe,Thursday,6,1210,219,125
Chembur,Thursday,7,1306,306,133
Ulhas,Thursday,8,1258,270,119
Khar,Thursday,9,1148,231,107
Panvel,Thursday,10,1108,125,96
Vashi,Thursday,11,1231,122,105
Panvel,Thursday,12,1293,161,102
Vashi,Thursday,13,1274,101,97
Thane,Thursday,14,1135,95,79
Panvel,Thursday,15,1151,129,0
Khar,Thursday,16,1010,96,69
Ulhas,Thursday,17,870,54,52
Khar,Thursday,18,983,63,62
Vashi,Thursday,19,995,72,69
Khar,Thursday,20,1024,91,75
Vashi,Thursday,21,1163,127,83
Chembur,Thursday,22,1218,193,94
Ulhas,Thursday,23,1210,188,96
Thane,Friday,0,1114,151,86
Thane,Friday,1,995,103,72
Khar,Friday,2,927,55,53
Khar,Friday,3,1002,104,65
Ulhas,Friday,4,987,116,70
Kurla,Friday,5,993,93,75
Kurla,Friday,6,1012,93,86
Turbhe,Friday,7,1114,155,94
Turbhe,Friday,8,1093,115,103
Turbhe,Friday,9,968,75,81
Kurla,Friday,10,960,65,80
Chembur,Friday,11,942,57,77
Kurla,Friday,12,888,40,58
Kurla,Friday,13,818,27,31
Thane,Friday,14,840,23,38
Ulhas,Friday,15,894,28,0
Thane,Friday,16,864,21,59
Panvel,Friday,17,898,33,70
Khar,Friday,18,946,40,75
Thane,Friday,19,1309,279,103
Chembur,Friday,20,1326,743,134
Chembur,Friday,21,966,147,98
Ulhas,Friday,22,975,97,97
Thane,Friday,23,988,118,98
Panvel,Saturday,0,971,91,78
Chembur,Saturday,1,1010,146,83
Chembur,Saturday,2,984,139,92
Ulhas,Saturday,3,962,155,81
Khar,Saturday,4,1012,128,90
Vashi,Saturday,5,1058,166,95
Khar,Saturday,6,1173,299,114
Thane,Saturday,7,1127,163,106
Kurla,Saturday,8,1020,154,99
Chembur,Saturday,9,949,80,90
Chembur,Saturday,10,930,58,82
Turbhe,Saturday,11,900,55,74
Panvel,Saturday,12,899,33,76
Panvel,Saturday,13,866,33,66
Vashi,Saturday,14,900,32,73
Vashi,Saturday,15,949,25,0
Chembur,Saturday,16,897,29,69
Ulhas,Saturday,17,956,26,71
Vashi,Saturday,18,1054,86,98
Kurla,Saturday,19,1343,294,115
Kurla,Saturday,20,1584,664,130
Thane,Saturday,21,1556,695,150
Chembur,Saturday,22,1565,735,159
Panvel,Saturday,23,1429,649,146
Panvel,Sunday,0,1419,586,138
Khar,Sunday,1,1373,546,128
Vashi,Sunday,2,1185,245,97
Turbhe,Sunday,3,1122,178,91
Turbhe,Sunday,4,1085,130,81
Kurla,Sunday,5,1249,151,99
Khar,Sunday,6,1236,272,101
Ulhas,Sunday,7,1334,301,106
Chembur,Sunday,8,1264,237,102
Chembur,Sunday,9,1073,95,84
Kurla,Sunday,10,1053,68,81
Chembur,Sunday,11,1098,101,91
Ulhas,Sunday,12,1029,81,82
Turbhe,Sunday,13,973,50,64
Kurla,Sunday,14,972,66,70
Kurla,Sunday,15,832,22,0
Ulhas,Sunday,16,851,18,26
Chembur,Sunday,17,909,31,58
Khar,Sunday,18,1038,57,93
Vashi,Sunday,19,1636,342,110
Vashi,Sunday,20,1580,644,115
Panvel,Sunday,21,1262,216,125
Panvel,Sunday,22,1197,117,118
Vashi,Sunday,23,1277,156,109
Turbhe,Monday,0,1430,332,123
Ulhas,Monday,1,1242,232,114
Panvel,Monday,2,1349,295,114
Turbhe,Monday,3,1390,386,119
Thane,Monday,4,1224,278,111
Ulhas,Monday,5,1253,263,103
Vashi,Monday,6,1312,322,103
Turbhe,Monday,7,1254,226,107
Thane,Monday,8,1198,221,105
Chembur,Monday,9,1060,109,91
Chembur,Monday,10,1050,105,79
Chembur,Monday,11,1029,84,79
Thane,Monday,12,1143,106,86
Ulhas,Monday,13,1044,100,70
Thane,Monday,14,1034,71,55
Chembur,Monday,15,956,72,0
Kurla,Monday,16,909,44,49
Kurla,Monday,17,996,45,50
Thane,Monday,18,1154,134,67
Thane,Monday,19,1510,505,94
Khar,Monday,20,1722,1042,119
Turbhe,Monday,21,1512,737,139
Turbhe,Monday,22,1258,375,113
Kurla,Monday,23,1094,124,88
Chembur,Monday,18,1129,137,73
Kurla,Monday,19,1125,179,73
Chembur,Monday,20,0,222,72
Khar,Monday,21,0,197,81
Chembur,Monday,22,0,319,93
Turbhe,Monday,23,1308,388,106
Thane,Tuesday,0,1529,589,132
Turbhe,Tuesday,1,1592,840,164
Kurla,Tuesday,2,1536,655,161
Chembur,Tuesday,3,1192,254,124
Thane,Tuesday,4,1186,188,113
Ulhas,Tuesday,5,1203,120,103
Vashi,Tuesday,6,1139,157,104
Vashi,Tuesday,7,1072,88,93
Thane,Tuesday,8,954,68,60
Chembur,Tuesday,9,951,57,0
Khar,Tuesday,10,926,36,52
Turbhe,Tuesday,11,968,51,66
Turbhe,Tuesday,12,1067,93,82
Chembur,Tuesday,13,1386,284,109
Thane,Tuesday,14,1474,486,114
Ulhas,Tuesday,15,1569,798,139
Thane,Tuesday,16,1375,524,127
Panvel,Tuesday,17,1328,468,127
Panvel,Tuesday,18,1341,454,135
Chembur,Tuesday,19,1297,461,130
Turbhe,Tuesday,20,1303,391,126
Kurla,Tuesday,21,1281,337,121
Turbhe,Tuesday,22,1248,297,122
Panvel,Tuesday,23,1382,588,138
Vashi,Wednesday,0,1491,721,165
Thane,Wednesday,1,1620,710,154
Chembur,Wednesday,2,1693,787,168
Vashi,Wednesday,3,1374,415,146
Khar,Wednesday,4,1287,245,124
Khar,Wednesday,5,1408,294,124
Thane,Wednesday,6,1254,139,106
Thane,Wednesday,7,1141,98,88
Thane,Wednesday,8,1141,88,83
Khar,Wednesday,9,1042,66,0
Vashi,Wednesday,10,986,57,74
Thane,Wednesday,11,1005,57,64
Ulhas,Wednesday,12,1041,60,69
Ulhas,Wednesday,13,1272,200,91
Chembur,Wednesday,14,1436,451,96
Vashi,Wednesday,15,1472,422,106
Thane,Wednesday,16,1418,135,0
Chembur,Wednesday,17,1410,135,0
Kurla,Wednesday,18,1438,135,0
Kurla,Wednesday,19,1278,135,0
Kurla,Wednesday,20,1257,135,0
Kurla,Wednesday,21,1331,135,0
Thane,Wednesday,22,1361,135,0
Kurla,Wednesday,23,1398,135,0
Vashi,Thursday,0,1483,135,0
Turbhe,Thursday,1,1697,135,0
Chembur,Thursday,2,1459,135,0
Chembur,Thursday,3,1268,135,0
Turbhe,Thursday,4,1469,135,0
Vashi,Thursday,5,1316,135,0
Turbhe,Thursday,6,1224,135,0
Thane,Thursday,7,1215,135,0
Chembur,Thursday,8,1115,135,0
Turbhe,Thursday,9,1124,135,0
Turbhe,Thursday,10,1028,135,0
Vashi,Thursday,11,1010,135,0
Ulhas,Thursday,12,1074,135,0
Vashi,Thursday,13,1034,135,0
Ulhas,Thursday,14,1130,135,0
Turbhe,Thursday,15,1275,135,0
Khar,Thursday,16,1324,135,0
Chembur,Thursday,17,1268,135,0
Turbhe,Thursday,18,1272,135,0
Chembur,Thursday,19,1160,135,0
Turbhe,Thursday,20,1136,135,0
Ulhas,Thursday,21,1296,135,0
Vashi,Thursday,22,1345,135,0
Vashi,Thursday,23,1296,135,0
Ulhas,Friday,0,1258,135,0
Kurla,Friday,1,1420,135,0
Panvel,Friday,2,1366,135,0
Turbhe,Friday,3,1113,135,0
Ulhas,Friday,4,1196,135,0
Chembur,Friday,5,1188,135,0
Chembur,Friday,6,1102,135,0
Ulhas,Friday,7,969,135,0
Panvel,Friday,8,983,135,0
Chembur,Friday,9,876,135,0
Khar,Friday,10,884,135,0
Thane,Friday,11,1024,135,0
Khar,Friday,12,1126,135,0
Panvel,Friday,13,1415,135,0
Turbhe,Friday,14,1631,135,0
Thane,Friday,15,1499,135,0
Thane,Friday,16,1461,424,124
Turbhe,Friday,17,1430,339,121
Panvel,Friday,18,1498,445,114
Turbhe,Friday,19,1454,535,114
Vashi,Friday,20,1402,278,106
Vashi,Friday,21,1327,256,89
Ulhas,Friday,22,1273,245,82
Thane,Friday,23,1457,458,111
Turbhe,Saturday,0,1543,710,132
Khar,Saturday,1,1499,678,121
Thane,Saturday,2,1378,436,116
Ulhas,Saturday,3,1243,178,100
Khar,Saturday,4,1196,160,89
Panvel,Saturday,5,1137,177,92
Khar,Saturday,6,1015,101,71
Panvel,Saturday,7,978,66,51
Thane,Saturday,8,933,40,39
Ulhas,Saturday,9,927,54,0
Kurla,Saturday,10,908,39,35
Vashi,Saturday,11,980,62,64
Khar,Saturday,12,1236,120,94
Vashi,Saturday,13,1664,599,134
Kurla,Saturday,14,1757,1084,129
Khar,Saturday,15,1524,776,125
Vashi,Saturday,16,1329,470,107
Chembur,Saturday,17,1167,169,78
Vashi,Saturday,18,1369,304,91
Turbhe,Saturday,19,1284,405,116
Khar,Saturday,20,1221,297,131
Khar,Saturday,21,1096,220,113
Ulhas,Saturday,22,1143,226,98
Ulhas,Saturday,23,1251,456,116
Khar,Sunday,0,1268,470,120
Khar,Sunday,1,1314,503,126
Thane,Sunday,2,1315,459,126
Chembur,Sunday,3,1095,227,90
Vashi,Sunday,4,1027,152,81
Panvel,Sunday,5,1012,94,74
Vashi,Sunday,6,948,93,67
Panvel,Sunday,7,889,49,46
Vashi,Sunday,8,830,30,30
Ulhas,Sunday,9,801,30,0
Thane,Sunday,10,804,30,19
Panvel,Sunday,11,824,32,32
Kurla,Sunday,12,1000,59,61
Turbhe,Sunday,13,1307,277,111
Chembur,Sunday,14,1286,454,102
Turbhe,Sunday,15,1150,211,116
Vashi,Sunday,16,1087,196,96
Thane,Sunday,17,1016,110,97
Turbhe,Sunday,18,1029,164,110
Panvel,Sunday,19,1109,151,103
Khar,Sunday,20,997,112,79
Turbhe,Sunday,21,1177,117,104
Khar,Sunday,22,1045,120,69
Vashi,Sunday,23,1171,251,96
Kurla,Monday,0,1221,435,121
Turbhe,Monday,1,1262,345,129
Ulhas,Monday,2,1207,343,116
Khar,Monday,3,956,62,71
Ulhas,Monday,4,1020,70,85
Ulhas,Monday,5,1107,114,101
Vashi,Monday,6,1020,88,97
Chembur,Monday,7,1051,95,89
Thane,Monday,8,965,83,72
Vashi,Monday,9,890,63,0
Thane,Monday,10,823,38,57
Turbhe,Monday,11,869,68,62
Chembur,Monday,12,939,59,64
Panvel,Monday,13,1274,226,80
Ulhas,Monday,14,1512,802,118
Khar,Monday,15,1435,585,130
Thane,Monday,16,1207,324,113
Kurla,Monday,17,1223,308,112
Kurla,Monday,18,1121,238,96
Khar,Monday,19,1176,301,125
Chembur,Monday,20,1144,294,128
Thane,Monday,21,1136,353,101
Khar,Monday,22,1085,209,95
Turbhe,Monday,23,1297,538,138
Turbhe,Monday,18,1408,808,154
Chembur,Monday,19,1618,974,171
Vashi,Monday,20,1319,544,136
Thane,Monday,21,1045,138,93
Ulhas,Monday,22,1058,92,99
Turbhe,Monday,23,0,137,106
Thane,Tuesday,0,0,189,109
Turbhe,Tuesday,1,0,159,97
Ulhas,Tuesday,2,0,80,83
Panvel,Tuesday,3,0,66,0
Turbhe,Tuesday,4,0,87,79
Khar,Tuesday,5,0,79,84
Ulhas,Tuesday,6,0,150,86
Vashi,Tuesday,7,0,196,111
Turbhe,Tuesday,8,0,299,117
Thane,Tuesday,9,0,254,122
Panvel,Tuesday,10,0,226,119
Thane,Tuesday,11,0,262,121
Panvel,Tuesday,12,0,505,127
Vashi,Tuesday,13,0,512,135
Panvel,Tuesday,14,0,159,119
Vashi,Tuesday,15,0,337,137
Khar,Tuesday,16,0,357,139
Turbhe,Tuesday,17,0,194,117
Khar,Tuesday,18,0,278,127
Kurla,Tuesday,19,0,303,137
Thane,Tuesday,20,0,234,127
Thane,Tuesday,21,0,128,107
Panvel,Tuesday,22,0,160,102
Khar,Tuesday,23,1176,169,95
Kurla,Wednesday,0,1047,77,79
Panvel,Wednesday,1,1116,98,78
Ulhas,Wednesday,2,1074,102,75
Chembur,Wednesday,3,922,65,0
Ulhas,Wednesday,4,898,69,52
Chembur,Wednesday,5,970,89,55
Chembur,Wednesday,6,1073,134,65
Ulhas,Wednesday,7,1081,157,72
Panvel,Wednesday,8,1159,167,76
Turbhe,Wednesday,9,1112,157,84
Turbhe,Wednesday,10,1112,172,90
Ulhas,Wednesday,11,1063,114,89
Turbhe,Wednesday,12,1032,166,87
Panvel,Wednesday,13,936,94,88
Khar,Wednesday,14,883,108,81
Vashi,Wednesday,15,942,98,89
